"ID","days","width","width_raw"
"ID_163",101,43.5,43.5
"ID_163",134,59,59
"ID_163",162,65,65
"ID_163",190,66,66
"ID_165",101,40,40
"ID_165",134,62.5,62.5
"ID_165",162,68,68
"ID_165",190,68,67.5
"ID_166",101,48,48
"ID_166",134,61.5,61.5
"ID_166",162,70,70
"ID_166",190,70,67
"ID_169",101,28.5,28.5
"ID_169",134,63.5,63.5
"ID_169",162,63.5,54
"ID_169",190,61,61
"ID_17",101,49,49
"ID_17",134,65,65
"ID_17",162,65,58.5
"ID_17",190,65,51
"ID_170",101,46,46
"ID_170",134,59.5,59.5
"ID_170",162,80,80
"ID_170",190,80,71.5
"ID_171",101,44.5,44.5
"ID_171",134,66,66
"ID_171",162,69,69
"ID_171",190,72.5,72.5
"ID_172",101,36.5,36.5
"ID_172",134,51.5,51.5
"ID_172",162,60.5,60.5
"ID_172",190,57,57
"ID_174",101,52.5,52.5
"ID_174",134,60.5,60.5
"ID_174",162,63.5,63.5
"ID_174",190,72.5,72.5
"ID_175",101,50.5,50.5
"ID_175",134,68.5,68.5
"ID_175",162,75,75
"ID_175",190,70,70
"ID_176",101,44.5,44.5
"ID_176",134,68.5,68.5
"ID_176",162,68.5,62
"ID_176",190,68.5,49.5
"ID_177",101,35.5,35.5
"ID_177",134,38.5,38.5
"ID_177",162,77.5,77.5
"ID_177",190,77.5,72
"ID_18",101,46.5,46.5
"ID_18",134,52,52
"ID_18",162,72.5,72.5
"ID_18",190,72.5,57.5
"ID_180",101,31,31
"ID_180",134,83.5,83.5
"ID_180",162,72.5,72.5
"ID_180",190,72.5,70.5
"ID_181",101,14.5,14.5
"ID_181",134,53.5,53.5
"ID_181",162,55,55
"ID_181",190,55,53.5
"ID_186",101,38,38
"ID_186",134,53,53
"ID_186",162,67.5,67.5
"ID_186",190,67.5,44.5
"ID_189",101,52,52
"ID_189",134,57,57
"ID_189",162,60,60
"ID_189",190,60,46.5
"ID_19",101,32.5,32.5
"ID_19",134,48,48
"ID_19",162,57.5,57.5
"ID_19",190,57.5,40.5
"ID_191",101,65.5,65.5
"ID_191",134,69,69
"ID_191",162,80,80
"ID_191",190,80,71.5
"ID_192",101,9,9
"ID_192",134,57,57
"ID_192",162,57,23.5
"ID_192",190,31,31
"ID_197",101,43,43
"ID_197",134,60,60
"ID_197",162,60,60
"ID_197",190,60,58.5
"ID_198",101,31,31
"ID_198",134,65,65
"ID_198",162,70.5,70.5
"ID_198",190,70.5,47.5
"ID_199",101,38.5,38.5
"ID_199",134,61,61
"ID_199",162,65.5,65.5
"ID_199",190,65.5,53.5
"ID_2",101,42.5,42.5
"ID_2",134,57,57
"ID_2",162,60,60
"ID_2",190,62,62
"ID_20",101,28.5,28.5
"ID_20",134,44,44
"ID_20",162,56,56
"ID_20",190,56,40
"ID_201",101,32.5,32.5
"ID_201",134,55,55
"ID_201",162,71,71
"ID_201",190,71,51
"ID_202",101,38.5,38.5
"ID_202",134,59.5,59.5
"ID_202",162,59.5,57.5
"ID_202",190,59.5,44.5
"ID_207",101,40.5,40.5
"ID_207",134,60,60
"ID_207",162,75,75
"ID_207",190,75,44
"ID_208",101,52,52
"ID_208",134,58,58
"ID_208",162,79.5,79.5
"ID_208",190,79.5,48
"ID_21",101,53,53
"ID_21",134,57.5,57.5
"ID_21",162,72,72
"ID_21",190,72,72
"ID_212",101,24,24
"ID_212",134,59,59
"ID_212",162,60,60
"ID_212",190,60,46.5
"ID_214",101,26.5,26.5
"ID_214",134,55,55
"ID_214",162,67.5,67.5
"ID_214",190,67.5,47
"ID_217",101,31,31
"ID_217",134,47,47
"ID_217",162,66.5,66.5
"ID_217",190,66.5,42.5
"ID_223",101,21.5,21.5
"ID_223",134,44.5,44.5
"ID_223",162,70.5,70.5
"ID_223",190,70.5,59.5
"ID_224",101,27.5,27.5
"ID_224",134,44,44
"ID_224",162,58,58
"ID_224",190,58,44
"ID_227",101,26.5,26.5
"ID_227",134,61,61
"ID_227",162,69.5,69.5
"ID_227",190,69.5,54
"ID_23",101,31,31
"ID_23",134,41.5,41.5
"ID_23",162,55,55
"ID_23",190,72.5,72.5
"ID_231",101,35,35
"ID_231",134,59.5,59.5
"ID_231",162,72.5,72.5
"ID_231",190,72.5,47.5
"ID_234",101,24,24
"ID_234",134,60.5,60.5
"ID_234",162,70,70
"ID_234",190,70,69
"ID_24",101,39,39
"ID_24",134,55,55
"ID_24",162,65,65
"ID_24",190,68.5,68.5
"ID_25",101,40,40
"ID_25",134,46.5,46.5
"ID_25",162,59.5,59.5
"ID_25",190,59.5,46
"ID_26",101,25.5,25.5
"ID_26",134,45,45
"ID_26",162,62,62
"ID_26",190,62,57.5
"ID_27",101,43.5,43.5
"ID_27",134,63,63
"ID_27",162,66,66
"ID_27",190,66,53
"ID_28",101,25.5,25.5
"ID_28",134,32.5,32.5
"ID_28",162,49,49
"ID_28",190,49,44
"ID_29",101,41,41
"ID_29",134,61,61
"ID_29",162,67,67
"ID_29",190,67,48.5
"ID_3",101,23,23
"ID_3",134,36.5,36.5
"ID_3",162,73.5,73.5
"ID_3",190,73.5,60
"ID_30",101,45,45
"ID_30",134,55.5,55.5
"ID_30",162,61.5,61.5
"ID_30",190,61.5,53.5
"ID_32",101,44.5,44.5
"ID_32",134,56.5,56.5
"ID_32",162,65,65
"ID_32",190,65,47
"ID_34",101,25.5,25.5
"ID_34",134,36.5,36.5
"ID_34",162,41.5,41.5
"ID_34",190,41.5,40
"ID_35",101,38,38
"ID_35",134,46.5,46.5
"ID_35",162,60.5,60.5
"ID_35",190,60.5,45
"ID_36",101,37.5,37.5
"ID_36",134,61,61
"ID_36",162,61,57
"ID_36",190,61,53.5
"ID_37",101,49,49
"ID_37",134,61,61
"ID_37",162,77,77
"ID_37",190,77,55
"ID_38",101,59.5,59.5
"ID_38",134,72.5,72.5
"ID_38",162,81.5,81.5
"ID_38",190,81.5,48.5
"ID_39",101,32.5,32.5
"ID_39",134,41.5,41.5
"ID_39",162,59,59
"ID_39",190,59,54
"ID_4",101,63.5,63.5
"ID_4",134,64.5,64.5
"ID_4",162,64.5,64.5
"ID_4",190,71.5,71.5
"ID_40",101,46.5,46.5
"ID_40",134,54,54
"ID_40",162,61,61
"ID_40",190,61,60
"ID_41",101,35.5,35.5
"ID_41",134,49,49
"ID_41",162,60,60
"ID_41",190,60,43
"ID_42",101,49,49
"ID_42",134,55,55
"ID_42",162,67.5,67.5
"ID_42",190,67.5,57
"ID_45",101,53.5,53.5
"ID_45",134,63,63
"ID_45",162,68,68
"ID_45",190,68,54
"ID_47",101,24.5,24.5
"ID_47",134,41,41
"ID_47",162,59,59
"ID_47",190,59,58.5
"ID_48",101,40,40
"ID_48",134,48,48
"ID_48",162,57,57
"ID_48",190,57,57
"ID_49",101,30.5,30.5
"ID_49",134,46,46
"ID_49",162,57.5,57.5
"ID_49",190,58,58
"ID_50",101,32.5,32.5
"ID_50",134,36.5,36.5
"ID_50",162,53.5,53.5
"ID_50",190,58,58
"ID_51",101,67.5,67.5
"ID_51",134,72,72
"ID_51",162,72,68.5
"ID_51",190,72,61
"ID_52",101,83.5,83.5
"ID_52",134,83.5,82.5
"ID_52",162,83.5,68
"ID_52",190,83.5,59.5
"ID_53",101,44,44
"ID_53",134,46,46
"ID_53",162,54,54
"ID_53",190,54,51
"ID_55",101,33,33
"ID_55",134,48,48
"ID_55",162,48,44.5
"ID_55",190,45.5,45.5
"ID_56",101,42.5,42.5
"ID_56",134,50,50
"ID_56",162,56.5,56.5
"ID_56",190,59.5,59.5
"ID_57",101,43,43
"ID_57",134,52.5,52.5
"ID_57",162,77,77
"ID_57",190,77,59.5
"ID_58",101,33,33
"ID_58",134,41.5,41.5
"ID_58",162,52,52
"ID_58",190,52,52
"ID_59",101,46,46
"ID_59",134,46.5,46.5
"ID_59",162,55.5,55.5
"ID_59",190,56.5,56.5
"ID_6",101,28.5,28.5
"ID_6",134,41,41
"ID_6",162,58.5,58.5
"ID_6",190,62.5,62.5
"ID_60",101,53.5,53.5
"ID_60",134,59,59
"ID_60",162,69,69
"ID_60",190,69,65
"ID_61",101,41,41
"ID_61",134,51.5,51.5
"ID_61",162,55.5,55.5
"ID_61",190,55.5,47
"ID_62",101,18,18
"ID_62",134,38.5,38.5
"ID_62",162,38.5,36.5
"ID_62",190,37,37
"ID_63",101,30,30
"ID_63",134,57,57
"ID_63",162,57.5,57.5
"ID_63",190,58.5,58.5
"ID_64",101,38,38
"ID_64",134,54,54
"ID_64",162,61.5,61.5
"ID_64",190,64,64
"ID_65",101,50,50
"ID_65",134,66.5,66.5
"ID_65",162,62,62
"ID_65",190,70,70
"ID_67",101,56.5,56.5
"ID_67",134,61.5,61.5
"ID_67",162,73.5,73.5
"ID_67",190,73.5,66
"ID_68",101,39.5,39.5
"ID_68",134,49,49
"ID_68",162,59.5,59.5
"ID_68",190,59.5,58
"ID_69",101,24,24
"ID_69",134,31,31
"ID_69",162,50,50
"ID_69",190,50,43.5
"ID_7",101,49.5,49.5
"ID_7",134,59.5,59.5
"ID_7",162,52,52
"ID_7",190,70.5,70.5
"ID_72",101,21.5,21.5
"ID_72",134,35,35
"ID_72",162,54.5,54.5
"ID_72",190,54.5,41.5
"ID_73",101,43,43
"ID_73",134,51.5,51.5
"ID_73",162,66,66
"ID_73",190,66,59
"ID_74",101,46,46
"ID_74",134,57.5,57.5
"ID_74",162,71,71
"ID_74",190,71,53.5
"ID_75",101,21,21
"ID_75",134,34.5,34.5
"ID_75",162,54,54
"ID_75",190,54,39.5
"ID_76",101,40,40
"ID_76",134,48.5,48.5
"ID_76",162,66.5,66.5
"ID_76",190,66.5,50.5
"ID_77",101,33.5,33.5
"ID_77",134,43,43
"ID_77",162,51.5,51.5
"ID_77",190,51.5,39
"ID_78",101,45,45
"ID_78",134,49.5,49.5
"ID_78",162,72.5,72.5
"ID_78",190,72.5,55.5
"ID_79",101,41,41
"ID_79",134,63.5,63.5
"ID_79",162,69,69
"ID_79",190,78,78
"ID_8",101,33,33
"ID_8",134,43.5,43.5
"ID_8",162,57,57
"ID_8",190,57,52
"ID_80",101,43.5,43.5
"ID_80",134,48.5,48.5
"ID_80",162,68,68
"ID_80",190,74.5,74.5
"ID_81",101,29,29
"ID_81",134,38,38
"ID_81",162,60,60
"ID_81",190,60,46
"ID_82",101,28,28
"ID_82",134,45,45
"ID_82",162,59.5,59.5
"ID_82",190,59.5,57
"ID_84",101,59,59
"ID_84",134,71,71
"ID_84",162,71,62
"ID_84",190,71,55
"ID_85",101,39,39
"ID_85",134,46.5,46.5
"ID_85",162,54.5,54.5
"ID_85",190,54.5,47.5
"ID_86",101,47,47
"ID_86",134,50.5,50.5
"ID_86",162,61.5,61.5
"ID_86",190,61.5,53.5
"ID_87",101,42,42
"ID_87",134,63.5,63.5
"ID_87",162,65,65
"ID_87",190,65,54
"ID_88",101,24.5,24.5
"ID_88",134,43.5,43.5
"ID_88",162,61.5,61.5
"ID_88",190,67.5,67.5
"ID_89",101,37.5,37.5
"ID_89",134,50.5,50.5
"ID_89",162,70,70
"ID_89",190,70,59
"ID_9",101,36.5,36.5
"ID_9",134,57.5,57.5
"ID_9",162,59,59
"ID_9",190,59,51
"ID_90",101,43,43
"ID_90",134,50.5,50.5
"ID_90",162,58.5,58.5
"ID_90",190,58.5,50.5
"ID_91",101,31.5,31.5
"ID_91",134,45,45
"ID_91",162,56.5,56.5
"ID_91",190,56.5,48
"ID_92",101,42,42
"ID_92",134,55,55
"ID_92",162,65.5,65.5
"ID_92",190,65.5,53.5
"ID_94",101,45,45
"ID_94",134,51,51
"ID_94",162,63,63
"ID_94",190,63,50
"ID_95",101,59.5,59.5
"ID_95",134,55.5,55.5
"ID_95",162,63,63
"ID_95",190,63,52
"ID_96",101,61.5,61.5
"ID_96",134,68,68
"ID_96",162,76.5,76.5
"ID_96",190,76.5,51
"ID_98",101,51,51
"ID_98",134,60,60
"ID_98",162,70.5,70.5
"ID_98",190,70.5,68
"ID_99",101,38,38
"ID_99",134,56.5,56.5
"ID_99",162,64.5,64.5
"ID_99",190,64.5,57.5
