ID,date,days,width
ID_158,12/18/15,101,60
ID_158,1/20/16,134,64
ID_158,2/17/16,162,66.5
ID_158,3/16/16,190,70
ID_16,12/18/15,101,40.5
ID_16,1/20/16,134,49.5
ID_16,2/17/16,162,68
ID_16,3/16/16,190,68
ID_160,12/18/15,101,47.5
ID_160,1/20/16,134,60
ID_160,2/17/16,162,71.5
ID_160,3/16/16,190,71.5
ID_161,12/18/15,101,33
ID_161,1/20/16,134,51.5
ID_161,2/17/16,162,56.5
ID_161,3/16/16,190,65.5
ID_163,12/18/15,101,43.5
ID_163,1/20/16,134,59
ID_163,2/17/16,162,65
ID_163,3/16/16,190,66
ID_165,12/18/15,101,40
ID_165,1/20/16,134,62.5
ID_165,2/17/16,162,68
ID_165,3/16/16,190,68
ID_166,12/18/15,101,48
ID_166,1/20/16,134,61.5
ID_166,2/17/16,162,70
ID_166,3/16/16,190,70
ID_169,12/18/15,101,28.5
ID_169,1/20/16,134,63.5
ID_169,2/17/16,162,63.5
ID_169,3/16/16,190,61
ID_17,12/18/15,101,49
ID_17,1/20/16,134,65
ID_17,2/17/16,162,65
ID_17,3/16/16,190,65
ID_170,12/18/15,101,46
ID_170,1/20/16,134,59.5
ID_170,2/17/16,162,80
ID_170,3/16/16,190,80
ID_171,12/18/15,101,44.5
ID_171,1/20/16,134,58
ID_171,2/17/16,162,69
ID_171,3/16/16,190,72.5
ID_172,12/18/15,101,36.5
ID_172,1/20/16,134,51.5
ID_172,2/17/16,162,54
ID_172,3/16/16,190,57
ID_174,12/18/15,101,52.5
ID_174,1/20/16,134,60.5
ID_174,2/17/16,162,63.5
ID_174,3/16/16,190,72.5
ID_175,12/18/15,101,50.5
ID_175,1/20/16,134,68.5
ID_175,2/17/16,162,69
ID_175,3/16/16,190,70
ID_176,12/18/15,101,44.5
ID_176,1/20/16,134,68.5
ID_176,2/17/16,162,68.5
ID_176,3/16/16,190,68.5
ID_177,12/18/15,101,35.5
ID_177,1/20/16,134,38.5
ID_177,2/17/16,162,77.5
ID_177,3/16/16,190,77.5
ID_18,12/18/15,101,46.5
ID_18,1/20/16,134,61
ID_18,2/17/16,162,72.5
ID_18,3/16/16,190,72.5
ID_180,12/18/15,101,31
ID_180,1/20/16,134,53
ID_180,2/17/16,162,72.5
ID_180,3/16/16,190,72.5
ID_181,12/18/15,101,14.5
ID_181,1/20/16,134,53.5
ID_181,2/17/16,162,55
ID_181,3/16/16,190,55
ID_186,12/18/15,101,38
ID_186,1/20/16,134,53
ID_186,2/17/16,162,67.5
ID_186,3/16/16,190,67.5
ID_189,12/18/15,101,52
ID_189,1/20/16,134,57
ID_189,2/17/16,162,60
ID_189,3/16/16,190,60
ID_19,12/18/15,101,32.5
