"ID","date","days","width"
"ID_147",2016-01-20,134,54.5
"ID_147",2016-02-17,162,81.5
"ID_147",2016-03-16,190,75.5
"ID_148",2015-12-18,101,50
"ID_148",2016-01-20,134,25
"ID_148",2016-02-17,162,56.5
"ID_148",2016-03-16,190,55.5
"ID_15",2015-12-18,101,25.5
"ID_15",2016-01-20,134,36.5
"ID_15",2016-02-17,162,56.5
"ID_15",2016-03-16,190,50
"ID_152",2015-12-18,101,57
"ID_152",2016-01-20,134,57
"ID_152",2016-02-17,162,70
"ID_152",2016-03-16,190,68
"ID_153",2015-12-18,101,48
"ID_153",2016-01-20,134,46.5
"ID_153",2016-02-17,162,75
"ID_153",2016-03-16,190,73.5
"ID_154",2015-12-18,101,33.5
"ID_154",2016-01-20,134,60.5
"ID_154",2016-02-17,162,60
"ID_154",2016-03-16,190,49
"ID_155",2015-12-18,101,53.5
"ID_155",2016-01-20,134,57.5
"ID_155",2016-02-17,162,75
"ID_155",2016-03-16,190,69
"ID_156",2015-12-18,101,38
"ID_156",2016-01-20,134,27
"ID_156",2016-02-17,162,62.5
"ID_156",2016-03-16,190,72
"ID_157",2015-12-18,101,19.5
"ID_157",2016-01-20,134,63.5
"ID_157",2016-02-17,162,38
"ID_157",2016-03-16,190,36.5
"ID_158",2015-12-18,101,60
"ID_158",2016-01-20,134,56.5
"ID_158",2016-02-17,162,66.5
"ID_158",2016-03-16,190,70
"ID_16",2015-12-18,101,40.5
"ID_16",2016-01-20,134,49.5
"ID_16",2016-02-17,162,68
"ID_16",2016-03-16,190,49
"ID_160",2015-12-18,101,47.5
"ID_160",2016-01-20,134,43.5
"ID_160",2016-02-17,162,71.5
"ID_160",2016-03-16,190,69.5
"ID_161",2015-12-18,101,33
"ID_161",2016-01-20,134,51.5
"ID_161",2016-02-17,162,56.5
"ID_161",2016-03-16,190,65.5
"ID_163",2015-12-18,101,43.5
"ID_163",2016-01-20,134,59
"ID_163",2016-02-17,162,65
"ID_163",2016-03-16,190,66
"ID_165",2015-12-18,101,40
"ID_165",2016-01-20,134,62.5
"ID_165",2016-02-17,162,68
"ID_165",2016-03-16,190,67.5
"ID_166",2015-12-18,101,48
"ID_166",2016-01-20,134,61.5
"ID_166",2016-02-17,162,70
"ID_166",2016-03-16,190,67
"ID_169",2015-12-18,101,28.5
"ID_169",2016-01-20,134,63.5
"ID_169",2016-02-17,162,54
"ID_169",2016-03-16,190,61
"ID_17",2015-12-18,101,49
"ID_17",2016-01-20,134,65
"ID_17",2016-02-17,162,58.5
"ID_17",2016-03-16,190,51
"ID_170",2015-12-18,101,46
"ID_170",2016-01-20,134,59.5
"ID_170",2016-02-17,162,80
"ID_170",2016-03-16,190,71.5
"ID_171",2015-12-18,101,44.5
"ID_171",2016-01-20,134,39
"ID_171",2016-02-17,162,69
"ID_171",2016-03-16,190,72.5
"ID_172",2015-12-18,101,36.5
"ID_172",2016-01-20,134,51.5
"ID_172",2016-02-17,162,48.5
"ID_172",2016-03-16,190,57
"ID_174",2015-12-18,101,52.5
"ID_174",2016-01-20,134,60.5
"ID_174",2016-02-17,162,63.5
"ID_174",2016-03-16,190,72.5
"ID_175",2015-12-18,101,50.5
"ID_175",2016-01-20,134,68.5
"ID_175",2016-02-17,162,64
"ID_175",2016-03-16,190,70
"ID_176",2015-12-18,101,44.5
"ID_176",2016-01-20,134,68.5
"ID_176",2016-02-17,162,62
"ID_176",2016-03-16,190,49.5
"ID_177",2015-12-18,101,35.5
"ID_177",2016-01-20,134,38.5
"ID_177",2016-02-17,162,77.5
"ID_177",2016-03-16,190,72
"ID_18",2015-12-18,101,46.5
"ID_18",2016-01-20,134,42.5
"ID_18",2016-02-17,162,72.5
"ID_18",2016-03-16,190,57.5
"ID_180",2015-12-18,101,31
"ID_180",2016-01-20,134,29
"ID_180",2016-02-17,162,72.5
"ID_180",2016-03-16,190,70.5
"ID_181",2015-12-18,101,14.5
"ID_181",2016-01-20,134,53.5
"ID_181",2016-02-17,162,55
"ID_181",2016-03-16,190,53.5
"ID_186",2015-12-18,101,38
"ID_186",2016-01-20,134,53
"ID_186",2016-02-17,162,67.5
"ID_186",2016-03-16,190,44.5
"ID_189",2015-12-18,101,52
"ID_189",2016-01-20,134,57
"ID_189",2016-02-17,162,60
"ID_189",2016-03-16,190,46.5
"ID_19",2015-12-18,101,32.5
"ID_19",2016-01-20,134,48
"ID_19",2016-02-17,162,57.5
"ID_19",2016-03-16,190,40.5
"ID_191",2015-12-18,101,65.5
"ID_191",2016-01-20,134,14.5
"ID_191",2016-02-17,162,80
"ID_191",2016-03-16,190,71.5
"ID_192",2015-12-18,101,9
"ID_192",2016-01-20,134,57
"ID_192",2016-02-17,162,23.5
"ID_192",2016-03-16,190,31
"ID_197",2015-12-18,101,43
"ID_197",2016-01-20,134,60
"ID_197",2016-02-17,162,60
"ID_197",2016-03-16,190,58.5
"ID_198",2015-12-18,101,31
"ID_198",2016-01-20,134,65
"ID_198",2016-02-17,162,70.5
"ID_198",2016-03-16,190,47.5
"ID_199",2015-12-18,101,38.5
"ID_199",2016-01-20,134,61
"ID_199",2016-02-17,162,65.5
"ID_199",2016-03-16,190,53.5
"ID_2",2015-12-18,101,42.5
"ID_2",2016-01-20,134,57
"ID_2",2016-02-17,162,60
"ID_2",2016-03-16,190,62
"ID_20",2015-12-18,101,28.5
"ID_20",2016-01-20,134,44
"ID_20",2016-02-17,162,56
"ID_20",2016-03-16,190,40
"ID_201",2015-12-18,101,32.5
"ID_201",2016-01-20,134,55
"ID_201",2016-02-17,162,71
"ID_201",2016-03-16,190,51
"ID_202",2015-12-18,101,38.5
"ID_202",2016-01-20,134,59.5
"ID_202",2016-02-17,162,57.5
"ID_202",2016-03-16,190,44.5
"ID_207",2015-12-18,101,40.5
"ID_207",2016-01-20,134,60
"ID_207",2016-02-17,162,75
"ID_207",2016-03-16,190,44
"ID_208",2015-12-18,101,52
"ID_208",2016-01-20,134,50.5
"ID_208",2016-02-17,162,79.5
"ID_208",2016-03-16,190,48
"ID_21",2015-12-18,101,53
"ID_21",2016-01-20,134,57.5
"ID_21",2016-02-17,162,54
"ID_21",2016-03-16,190,72
"ID_212",2015-12-18,101,24
"ID_212",2016-01-20,134,59
"ID_212",2016-02-17,162,60
"ID_212",2016-03-16,190,46.5
"ID_214",2015-12-18,101,26.5
"ID_214",2016-01-20,134,55
"ID_214",2016-02-17,162,67.5
"ID_214",2016-03-16,190,47
"ID_217",2015-12-18,101,31
"ID_217",2016-01-20,134,47
"ID_217",2016-02-17,162,66.5
"ID_217",2016-03-16,190,42.5
"ID_223",2015-12-18,101,21.5
"ID_223",2016-01-20,134,44.5
"ID_223",2016-02-17,162,70.5
"ID_223",2016-03-16,190,59.5
"ID_224",2015-12-18,101,27.5
"ID_224",2016-01-20,134,44
"ID_224",2016-02-17,162,58
"ID_224",2016-03-16,190,44
"ID_227",2015-12-18,101,26.5
"ID_227",2016-01-20,134,61
"ID_227",2016-02-17,162,69.5
"ID_227",2016-03-16,190,54
"ID_23",2015-12-18,101,31
"ID_23",2016-01-20,134,41.5
"ID_23",2016-02-17,162,55
"ID_23",2016-03-16,190,72.5
"ID_231",2015-12-18,101,35
"ID_231",2016-01-20,134,59.5
"ID_231",2016-02-17,162,72.5
"ID_231",2016-03-16,190,47.5
"ID_234",2015-12-18,101,24
"ID_234",2016-01-20,134,60.5
"ID_234",2016-02-17,162,70
"ID_234",2016-03-16,190,69
"ID_24",2015-12-18,101,39
"ID_24",2016-01-20,134,55
"ID_24",2016-02-17,162,65
"ID_24",2016-03-16,190,68.5
"ID_25",2015-12-18,101,40
"ID_25",2016-01-20,134,46.5
"ID_25",2016-02-17,162,59.5
"ID_25",2016-03-16,190,46
"ID_26",2015-12-18,101,25.5
"ID_26",2016-01-20,134,45
"ID_26",2016-02-17,162,62
"ID_26",2016-03-16,190,57.5
"ID_27",2015-12-18,101,43.5
"ID_27",2016-01-20,134,63
"ID_27",2016-02-17,162,66
"ID_27",2016-03-16,190,53
"ID_28",2015-12-18,101,25.5
"ID_28",2016-01-20,134,32.5
"ID_28",2016-02-17,162,49
"ID_28",2016-03-16,190,44
"ID_29",2015-12-18,101,41
"ID_29",2016-01-20,134,61
"ID_29",2016-02-17,162,67
"ID_29",2016-03-16,190,48.5
"ID_3",2015-12-18,101,23
"ID_3",2016-01-20,134,36.5
"ID_3",2016-02-17,162,73.5
"ID_3",2016-03-16,190,60
"ID_30",2015-12-18,101,45
"ID_30",2016-01-20,134,55.5
"ID_30",2016-02-17,162,61.5
"ID_30",2016-03-16,190,53.5
"ID_32",2015-12-18,101,44.5
"ID_32",2016-01-20,134,56.5
"ID_32",2016-02-17,162,65
"ID_32",2016-03-16,190,47
"ID_34",2015-12-18,101,25.5
"ID_34",2016-01-20,134,36.5
"ID_34",2016-02-17,162,41.5
"ID_34",2016-03-16,190,40
"ID_35",2015-12-18,101,38
"ID_35",2016-01-20,134,46.5
"ID_35",2016-02-17,162,60.5
"ID_35",2016-03-16,190,45
"ID_36",2015-12-18,101,37.5
"ID_36",2016-01-20,134,61
