"ID","date","days","width","width_raw"
"ID_120",2016-02-17,162,50.5,50.5
"ID_120",2016-03-16,190,51,51
"ID_121",2015-12-18,101,39,39
"ID_121",2016-01-20,134,52,52
"ID_121",2016-02-17,162,56,56
"ID_121",2016-03-16,190,58.5,58.5
"ID_122",2015-12-18,101,36,36
"ID_122",2016-01-20,134,50,50
"ID_122",2016-02-17,162,50.5,50.5
"ID_122",2016-03-16,190,52,52
"ID_123",2015-12-18,101,57.5,57.5
"ID_123",2016-01-20,134,59,47
"ID_123",2016-02-17,162,59.5,59.5
"ID_123",2016-03-16,190,67.5,67.5
"ID_124",2015-12-18,101,47.5,47.5
"ID_124",2016-01-20,134,54,47
"ID_124",2016-02-17,162,59,59
"ID_124",2016-03-16,190,62,62
"ID_125",2015-12-18,101,25,25
"ID_125",2016-01-20,134,40,40
"ID_125",2016-02-17,162,54,54
"ID_125",2016-03-16,190,54,44
"ID_126",2015-12-18,101,53,53
"ID_126",2016-01-20,134,58.5,58.5
"ID_126",2016-02-17,162,63.5,63.5
"ID_126",2016-03-16,190,63.5,60.5
"ID_127",2015-12-18,101,53.5,53.5
"ID_127",2016-01-20,134,58,51
"ID_127",2016-02-17,162,61,61
"ID_127",2016-03-16,190,69,69
"ID_128",2015-12-18,101,21.5,21.5
"ID_128",2016-01-20,134,42.5,42.5
"ID_128",2016-02-17,162,57,57
"ID_128",2016-03-16,190,57,49.5
"ID_129",2015-12-18,101,13.5,13.5
"ID_129",2016-01-20,134,35,35
"ID_129",2016-02-17,162,42.5,42.5
"ID_129",2016-03-16,190,42.5,42.5
"ID_13",2015-12-18,101,31,31
"ID_13",2016-01-20,134,53,53
"ID_13",2016-02-17,162,66,66
"ID_13",2016-03-16,190,66,48.5
"ID_130",2015-12-18,101,70.5,70.5
"ID_130",2016-01-20,134,76,66.5
"ID_130",2016-02-17,162,80.5,80.5
"ID_130",2016-03-16,190,80.5,70.5
"ID_132",2015-12-18,101,44,44
"ID_132",2016-01-20,134,60.5,60.5
"ID_132",2016-02-17,162,70.5,70.5
"ID_132",2016-03-16,190,70.5,58
"ID_133",2015-12-18,101,49,49
"ID_133",2016-01-20,134,59,38
"ID_133",2016-02-17,162,67.5,67.5
"ID_133",2016-03-16,190,67.5,59.5
"ID_134",2015-12-18,101,25.5,25.5
"ID_134",2016-01-20,134,40,40
"ID_134",2016-02-17,162,59.5,59.5
"ID_134",2016-03-16,190,59.5,45
"ID_135",2015-12-18,101,44,44
"ID_135",2016-01-20,134,45.5,45.5
"ID_135",2016-02-17,162,60,60
"ID_135",2016-03-16,190,72.5,72.5
"ID_136",2015-12-18,101,40.5,40.5
"ID_136",2016-01-20,134,57,38
"ID_136",2016-02-17,162,71,71
"ID_136",2016-03-16,190,71,57
"ID_137",2015-12-18,101,42.5,42.5
"ID_137",2016-01-20,134,53,53
"ID_137",2016-02-17,162,61,61
"ID_137",2016-03-16,190,61,52
"ID_14",2015-12-18,101,50,50
"ID_14",2016-01-20,134,53,53
"ID_14",2016-02-17,162,56.5,56.5
"ID_14",2016-03-16,190,56.5,51
"ID_142",2015-12-18,101,46.5,46.5
"ID_142",2016-01-20,134,61,61
"ID_142",2016-02-17,162,64.5,64.5
"ID_142",2016-03-16,190,66,66
"ID_143",2015-12-18,101,50.5,50.5
"ID_143",2016-01-20,134,59.5,59.5
"ID_143",2016-02-17,162,80,80
"ID_143",2016-03-16,190,80,68.5
"ID_147",2015-12-18,101,40.5,40.5
"ID_147",2016-01-20,134,54.5,54.5
"ID_147",2016-02-17,162,81.5,81.5
"ID_147",2016-03-16,190,81.5,75.5
"ID_148",2015-12-18,101,50,50
"ID_148",2016-01-20,134,54,25
"ID_148",2016-02-17,162,56.5,56.5
"ID_148",2016-03-16,190,56.5,55.5
"ID_15",2015-12-18,101,25.5,25.5
"ID_15",2016-01-20,134,36.5,36.5
"ID_15",2016-02-17,162,56.5,56.5
"ID_15",2016-03-16,190,56.5,50
"ID_152",2015-12-18,101,57,57
"ID_152",2016-01-20,134,57,57
"ID_152",2016-02-17,162,70,70
"ID_152",2016-03-16,190,70,68
"ID_153",2015-12-18,101,48,48
"ID_153",2016-01-20,134,63,46.5
"ID_153",2016-02-17,162,75,75
"ID_153",2016-03-16,190,75,73.5
"ID_154",2015-12-18,101,33.5,33.5
"ID_154",2016-01-20,134,60.5,60.5
"ID_154",2016-02-17,162,60.5,60
"ID_154",2016-03-16,190,60.5,49
"ID_155",2015-12-18,101,53.5,53.5
"ID_155",2016-01-20,134,57.5,57.5
"ID_155",2016-02-17,162,75,75
