ID,date,days,leaf_n
ID_174,2/18/16,163,5
ID_174,3/21/16,195,4
ID_175,12/28/15,111,21
ID_175,1/21/16,135,9
ID_175,2/18/16,163,6
ID_175,3/21/16,195,5
ID_176,12/28/15,111,17
ID_176,1/21/16,135,13
ID_176,2/18/16,163,1
ID_176,3/21/16,195,1
ID_177,12/28/15,111,17
ID_177,1/21/16,135,16
ID_177,2/18/16,163,6
ID_177,3/21/16,195,6
ID_18,12/28/15,111,21
ID_18,1/21/16,135,21
ID_18,2/18/16,163,13
ID_18,3/21/16,195,13
ID_180,12/28/15,111,17
ID_180,1/21/16,135,17
ID_180,2/18/16,163,8
ID_180,3/21/16,195,8
ID_181,12/28/15,111,14
ID_181,1/21/16,135,14
ID_181,2/18/16,163,4
ID_181,3/21/16,195,4
ID_186,12/28/15,111,16
ID_186,1/21/16,135,16
ID_186,2/18/16,163,2
ID_186,3/21/16,195,2
ID_189,12/28/15,111,11
ID_189,1/21/16,135,5
ID_189,2/18/16,163,1
ID_189,3/21/16,195,1
ID_19,12/28/15,111,15
ID_19,1/21/16,135,13
ID_19,2/18/16,163,12
ID_19,3/21/16,195,11
ID_191,12/28/15,111,25
ID_191,1/21/16,135,7
ID_191,2/18/16,163,3
ID_191,3/21/16,195,3
ID_192,12/28/15,111,3
ID_192,1/21/16,135,3
ID_192,2/18/16,163,2
ID_192,3/21/16,195,4
ID_197,12/28/15,111,23
ID_197,1/21/16,135,23
ID_197,2/18/16,163,3
ID_197,3/21/16,195,3
ID_198,12/28/15,111,19
ID_198,1/21/16,135,19
ID_198,2/18/16,163,5
ID_198,3/21/16,195,5
ID_199,12/28/15,111,19
ID_199,1/21/16,135,11
ID_199,2/18/16,163,2
ID_199,3/21/16,195,2
ID_2,12/28/15,111,19
ID_2,1/21/16,135,11
ID_2,2/18/16,163,9
ID_2,3/21/16,195,8
ID_20,12/28/15,111,19
ID_20,1/21/16,135,19
ID_20,2/18/16,163,19
ID_20,3/21/16,195,10
ID_201,12/28/15,111,18
ID_201,1/21/16,135,18
ID_201,2/18/16,163,6
ID_201,3/21/16,195,6
ID_202,12/28/15,111,3
ID_202,1/21/16,135,4
ID_202,2/18/16,163,2
ID_202,3/21/16,195,7
ID_207,12/28/15,111,17
ID_207,1/21/16,135,16
ID_207,2/18/16,163,8
ID_207,3/21/16,195,8
ID_208,12/28/15,111,27
ID_208,1/21/16,135,27
ID_208,2/18/16,163,7
ID_208,3/21/16,195,6
ID_21,12/28/15,111,23
ID_21,1/21/16,135,10
ID_21,2/18/16,163,10
ID_21,3/21/16,195,8
ID_212,12/28/15,111,15
ID_212,1/21/16,135,3
ID_212,2/18/16,163,2
ID_212,3/21/16,195,2
ID_214,12/28/15,111,17
ID_214,1/21/16,135,17
ID_214,2/18/16,163,4
ID_214,3/21/16,195,4
ID_217,12/28/15,111,24
ID_217,1/21/16,135,24
ID_217,2/18/16,163,8
ID_217,3/21/16,195,8
ID_223,12/28/15,111,21
ID_223,1/21/16,135,21
ID_223,2/18/16,163,6
ID_223,3/21/16,195,6
ID_224,12/28/15,111,18
ID_224,1/21/16,135,18
ID_224,2/18/16,163,7
ID_224,3/21/16,195,7
ID_227,12/28/15,111,19
ID_227,1/21/16,135,19
ID_227,2/18/16,163,5
ID_227,3/21/16,195,5
ID_23,12/28/15,111,20
ID_23,1/21/16,135,20
ID_23,2/18/16,163,14
ID_23,3/21/16,195,10
ID_231,12/28/15,111,17
ID_231,1/21/16,135,9
ID_231,2/18/16,163,5
ID_231,3/21/16,195,5
ID_234,12/28/15,111,21
ID_234,1/21/16,135,21
ID_234,2/18/16,163,8
ID_234,3/21/16,195,8
ID_24,12/28/15,111,18
ID_24,1/21/16,135,18
ID_24,2/18/16,163,11
ID_24,3/21/16,195,6
ID_25,12/28/15,111,22
ID_25,1/21/16,135,14
ID_25,2/18/16,163,8
ID_25,3/21/16,195,8
ID_26,12/28/15,111,18
ID_26,1/21/16,135,18
ID_26,2/18/16,163,16
ID_26,3/21/16,195,7
ID_27,12/28/15,111,23
ID_27,1/21/16,135,19
ID_27,2/18/16,163,7
ID_27,3/21/16,195,7
ID_28,12/28/15,111,9
ID_28,1/21/16,135,4
ID_28,2/18/16,163,6
ID_28,3/21/16,195,8
ID_29,12/28/15,111,18
ID_29,1/21/16,135,15
ID_29,2/18/16,163,6
ID_29,3/21/16,195,6
ID_3,12/28/15,111,15
ID_3,1/21/16,135,21
ID_3,2/18/16,163,24
ID_3,3/21/16,195,15
ID_30,12/28/15,111,20
ID_30,1/21/16,135,12
ID_30,2/18/16,163,7
ID_30,3/21/16,195,5
ID_32,12/28/15,111,21
ID_32,1/21/16,135,19
ID_32,2/18/16,163,18
ID_32,3/21/16,195,10
ID_34,12/28/15,111,19
ID_34,1/21/16,135,19
ID_34,2/18/16,163,9
ID_34,3/21/16,195,6
ID_35,12/28/15,111,15
ID_35,1/21/16,135,7
ID_35,2/18/16,163,7
ID_35,3/21/16,195,7
ID_36,12/28/15,111,29
ID_36,1/21/16,135,29
ID_36,2/18/16,163,9
ID_36,3/21/16,195,8
ID_37,12/28/15,111,22
ID_37,1/21/16,135,11
ID_37,2/18/16,163,10
ID_37,3/21/16,195,9
ID_38,12/28/15,111,24
ID_38,1/21/16,135,19
ID_38,2/18/16,163,8
ID_38,3/21/16,195,8
ID_39,12/28/15,111,21
ID_39,1/21/16,135,21
ID_39,2/18/16,163,16
ID_39,3/21/16,195,12
ID_4,12/28/15,111,22
ID_4,1/21/16,135,8
ID_4,2/18/16,163,8
ID_4,3/21/16,195,8
ID_40,12/28/15,111,19
ID_40,1/21/16,135,12
ID_40,2/18/16,163,11.5
ID_40,3/21/16,195,11
ID_41,12/28/15,111,23
ID_41,1/21/16,135,23
ID_41,2/18/16,163,14
ID_41,3/21/16,195,4
ID_42,12/28/15,111,20
ID_42,1/21/16,135,6
ID_42,2/18/16,163,7
ID_42,3/21/16,195,7
ID_45,12/28/15,111,24
ID_45,1/21/16,135,21
ID_45,2/18/16,163,17
ID_45,3/21/16,195,10
ID_47,12/28/15,111,23
ID_47,1/21/16,135,23
ID_47,2/18/16,163,14
ID_47,3/21/16,195,10
ID_48,12/28/15,111,20
ID_48,1/21/16,135,20
ID_48,2/18/16,163,17
ID_48,3/21/16,195,13
ID_49,12/28/15,111,25
ID_49,1/21/16,135,25
ID_49,2/18/16,163,22
ID_49,3/21/16,195,14
ID_50,12/28/15,111,18
ID_50,1/21/16,135,18
ID_50,2/18/16,163,18
ID_50,3/21/16,195,10
ID_51,12/28/15,111,24
ID_51,1/21/16,135,6
ID_51,2/18/16,163,14
ID_51,3/21/16,195,14
ID_52,12/28/15,111,20
ID_52,1/21/16,135,7
ID_52,2/18/16,163,8.5
ID_52,3/21/16,195,10
ID_53,12/28/15,111,23
ID_53,1/21/16,135,23
ID_53,2/18/16,163,6
ID_53,3/21/16,195,6
ID_55,12/28/15,111,14
ID_55,1/21/16,135,6
ID_55,2/18/16,163,5.5
