"ID","date","days","leaf_number","leaf_number_raw"
"ID_142",2016-03-21,195,8,12
"ID_143",2015-12-28,111,21,21
"ID_143",2016-01-21,135,13,13
"ID_143",2016-02-18,163,8,8
"ID_143",2016-03-21,195,5,5
"ID_144",2015-12-28,111,18,9
"ID_144",2016-01-21,135,22,22
"ID_144",2016-02-18,163,2,2
"ID_144",2016-03-21,195,2,2
"ID_147",2015-12-28,111,17,11
"ID_147",2016-01-21,135,14,14
"ID_147",2016-02-18,163,6,6
"ID_147",2016-03-21,195,4,4
"ID_148",2015-12-28,111,20,9
"ID_148",2016-01-21,135,23,23
"ID_148",2016-02-18,163,2,2
"ID_148",2016-03-21,195,10,3
"ID_15",2015-12-28,111,17,13
"ID_15",2016-01-21,135,16,16
"ID_15",2016-02-18,163,15,15
"ID_15",2016-03-21,195,12,12
"ID_152",2015-12-28,111,19,19
"ID_152",2016-01-21,135,14,14
"ID_152",2016-02-18,163,4,4
"ID_152",2016-03-21,195,4,6
"ID_153",2015-12-28,111,16,16
"ID_153",2016-01-21,135,20,20
"ID_153",2016-02-18,163,6,6
"ID_153",2016-03-21,195,6,6
"ID_154",2015-12-28,111,10,13
"ID_154",2016-01-21,135,16,16
"ID_154",2016-02-18,163,11,11
"ID_154",2016-03-21,195,5,5
"ID_155",2015-12-28,111,20,20
"ID_155",2016-01-21,135,15,15
"ID_155",2016-02-18,163,6,6
"ID_155",2016-03-21,195,8,13
"ID_156",2015-12-28,111,18,13
"ID_156",2016-01-21,135,16,16
"ID_156",2016-02-18,163,6,6
"ID_156",2016-03-21,195,7,7
"ID_157",2015-12-28,111,19,4
"ID_157",2016-01-21,135,17,17
"ID_157",2016-02-18,163,1,1
"ID_157",2016-03-21,195,9,12
"ID_158",2015-12-28,111,20,16
"ID_158",2016-01-21,135,18,18
"ID_158",2016-02-18,163,3,3
"ID_158",2016-03-21,195,8,4
"ID_16",2015-12-28,111,14,18
"ID_16",2016-01-21,135,19,19
"ID_16",2016-02-18,163,16,16
"ID_16",2016-03-21,195,14,14
"ID_160",2015-12-28,111,19,19
"ID_160",2016-01-21,135,16,16
"ID_160",2016-02-18,163,4,4
"ID_160",2016-03-21,195,9,8
"ID_161",2015-12-28,111,18,18
"ID_161",2016-01-21,135,15,15
"ID_161",2016-02-18,163,13,13
"ID_161",2016-03-21,195,9,9
"ID_163",2015-12-28,111,18,5
"ID_163",2016-01-21,135,24,24
"ID_163",2016-02-18,163,10,10
"ID_163",2016-03-21,195,3,3
"ID_165",2015-12-28,111,19,19
"ID_165",2016-01-21,135,17,17
"ID_165",2016-02-18,163,10,10
"ID_165",2016-03-21,195,6,6
"ID_166",2015-12-28,111,20,20
"ID_166",2016-01-21,135,13,13
"ID_166",2016-02-18,163,5,5
"ID_166",2016-03-21,195,10,6
"ID_169",2015-12-28,111,14,14
"ID_169",2016-01-21,135,14,14
"ID_169",2016-02-18,163,4,4
"ID_169",2016-03-21,195,4,4
"ID_17",2015-12-28,111,23,23
"ID_17",2016-01-21,135,9,9
"ID_17",2016-02-18,163,7,7
"ID_17",2016-03-21,195,6,6
