ID,date,days,lobe_n
ID_137,12/28/15,111,0
ID_137,1/21/16,135,0
ID_137,2/18/16,163,3
ID_137,3/21/16,195,12
ID_138,12/28/15,111,3
ID_138,1/21/16,135,13
ID_138,2/18/16,163,14
ID_138,3/21/16,195,17
ID_139,12/28/15,111,0
ID_139,1/21/16,135,4
ID_139,2/18/16,163,6
ID_139,3/21/16,195,10
ID_14,12/28/15,111,1
ID_14,1/21/16,135,9
ID_14,2/18/16,163,14
ID_14,3/21/16,195,14
ID_142,12/28/15,111,0
ID_142,1/21/16,135,0
ID_142,2/18/16,163,6
ID_142,3/21/16,195,12
ID_143,12/28/15,111,0
ID_143,1/21/16,135,7
ID_143,2/18/16,163,10
ID_143,3/21/16,195,11
ID_144,12/28/15,111,9
ID_144,1/21/16,135,11
ID_144,2/18/16,163,11
ID_144,3/21/16,195,11
ID_147,12/28/15,111,4
ID_147,1/21/16,135,10
ID_147,2/18/16,163,12
ID_147,3/21/16,195,15
ID_148,12/28/15,111,6
ID_148,1/21/16,135,9
ID_148,2/18/16,163,11
ID_148,3/21/16,195,13
ID_15,12/28/15,111,0
ID_15,1/21/16,135,0
ID_15,2/18/16,163,5
ID_15,3/21/16,195,11
ID_152,12/28/15,111,0
ID_152,1/21/16,135,10
ID_152,2/18/16,163,16
ID_152,3/21/16,195,17
ID_153,12/28/15,111,0
ID_153,1/21/16,135,0
ID_153,2/18/16,163,8
ID_153,3/21/16,195,13
ID_154,12/28/15,111,0
ID_154,1/21/16,135,0
ID_154,2/18/16,163,0
ID_154,3/21/16,195,10
ID_155,12/28/15,111,0
ID_155,1/21/16,135,5
ID_155,2/18/16,163,8
ID_155,3/21/16,195,12
ID_156,12/28/15,111,5
ID_156,1/21/16,135,11
ID_156,2/18/16,163,18
ID_156,3/21/16,195,18
ID_157,12/28/15,111,5
ID_157,1/21/16,135,4
ID_157,2/18/16,163,4
ID_157,3/21/16,195,12
ID_158,12/28/15,111,1
ID_158,1/21/16,135,4
ID_158,2/18/16,163,12
ID_158,3/21/16,195,13
ID_16,12/28/15,111,0
ID_16,1/21/16,135,0
ID_16,2/18/16,163,12
ID_16,3/21/16,195,12
ID_160,12/28/15,111,0
ID_160,1/21/16,135,12
ID_160,2/18/16,163,12
ID_160,3/21/16,195,12
ID_161,12/28/15,111,0
ID_161,1/21/16,135,0
ID_161,2/18/16,163,0
ID_161,3/21/16,195,7
ID_163,12/28/15,111,5
ID_163,1/21/16,135,5
ID_163,2/18/16,163,10
ID_163,3/21/16,195,13
ID_165,12/28/15,111,0
ID_165,1/21/16,135,0
ID_165,2/18/16,163,7
ID_165,3/21/16,195,13
ID_166,12/28/15,111,0
ID_166,1/21/16,135,11
ID_166,2/18/16,163,12
ID_166,3/21/16,195,16
ID_169,12/28/15,111,1
ID_169,1/21/16,135,5
ID_169,2/18/16,163,10
ID_169,3/21/16,195,10
ID_17,12/28/15,111,0
ID_17,1/21/16,135,10
ID_17,2/18/16,163,15
ID_17,3/21/16,195,15
ID_170,12/28/15,111,0
ID_170,1/21/16,135,4
ID_170,2/18/16,163,8
ID_170,3/21/16,195,12
ID_171,12/28/15,111,1
ID_171,1/21/16,135,3
ID_171,2/18/16,163,14
ID_171,3/21/16,195,19
ID_172,12/28/15,111,2
ID_172,1/21/16,135,9
ID_172,2/18/16,163,10
ID_172,3/21/16,195,12
ID_174,12/28/15,111,0
ID_174,1/21/16,135,9
ID_174,2/18/16,163,10
ID_174,3/21/16,195,12
ID_175,12/28/15,111,0
ID_175,1/21/16,135,6
ID_175,2/18/16,163,9
ID_175,3/21/16,195,14
ID_176,12/28/15,111,0
ID_176,1/21/16,135,6
ID_176,2/18/16,163,11
ID_176,3/21/16,195,14
ID_177,12/28/15,111,0
ID_177,1/21/16,135,9
ID_177,2/18/16,163,9
ID_177,3/21/16,195,16
