ID,date,days,height
ID_143,2/17/16,162,153
ID_143,3/16/16,190,161
ID_143,5/13/16,248,179
ID_144,12/18/15,101,20
ID_144,1/20/16,134,38
ID_144,2/17/16,162,153
ID_144,3/16/16,190,153
ID_144,5/13/16,248,153
ID_147,12/18/15,101,15
ID_147,1/20/16,134,44
ID_147,2/17/16,162,128
ID_147,3/16/16,190,138
ID_147,5/13/16,248,159
ID_148,12/18/15,101,17
ID_148,1/20/16,134,23
ID_148,2/17/16,162,110
ID_148,3/16/16,190,142
ID_148,5/13/16,248,155
ID_15,12/18/15,101,15
ID_15,1/20/16,134,46
ID_15,2/17/16,162,57
ID_15,3/16/16,190,145
ID_15,5/13/16,248,198
ID_152,12/18/15,101,16
ID_152,1/20/16,134,55
ID_152,2/17/16,162,131
ID_152,3/16/16,190,163
ID_152,5/13/16,248,205
ID_153,12/18/15,101,22
ID_153,1/20/16,134,40
ID_153,2/17/16,162,130
ID_153,3/16/16,190,152
ID_153,5/13/16,248,198
ID_154,12/18/15,101,15
ID_154,1/20/16,134,48
ID_154,2/17/16,162,60
ID_154,3/16/16,190,99
ID_154,5/13/16,248,106
ID_155,12/18/15,101,17
ID_155,1/20/16,134,48
ID_155,2/17/16,162,128
ID_155,3/16/16,190,145
ID_155,5/13/16,248,178
ID_156,12/18/15,101,21
ID_156,1/20/16,134,48
ID_156,2/17/16,162,109
ID_156,3/16/16,190,130
ID_156,5/13/16,248,180
ID_157,12/18/15,101,15
ID_157,1/20/16,134,46
ID_157,2/17/16,162,79
ID_157,3/16/16,190,116
ID_157,5/13/16,248,155
ID_158,12/18/15,101,22
ID_158,1/20/16,134,44
ID_158,2/17/16,162,140
ID_158,3/16/16,190,150
ID_158,5/13/16,248,196
ID_16,12/18/15,101,16
ID_16,1/20/16,134,39
ID_16,2/17/16,162,100
ID_16,3/16/16,190,160
ID_16,5/13/16,248,187
ID_160,12/18/15,101,17
ID_160,1/20/16,134,42
ID_160,2/17/16,162,145
ID_160,3/16/16,190,164
ID_160,5/13/16,248,202
ID_161,12/18/15,101,9
ID_161,1/20/16,134,44
